name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Fayston;us-vt-barre-hd;us-vt-fayston;Town;;1240;VT;
Middlesex;us-vt-barre-hd;us-vt-middlesex;Town;;1991;VT;
Moretown;us-vt-barre-hd;us-vt-moretown;Town;;1695;VT;
Roxbury;us-vt-barre-hd;us-vt-roxbury;Town;;1038;VT;
Warren;us-vt-barre-hd;us-vt-warren;Town;;1736;VT;
Woodbury;us-vt-morrisville;us-vt-woodbury;Town;;704;VT;
Athens;us-vt-brattleboro;us-vt-athens;Town;;529;VT;
Brookline;us-vt-brattleboro;us-vt-brookline;Town;;418;VT;
Dover;us-vt-brattleboro;us-vt-dover;Town;;1227;VT;
Dummerston;us-vt-brattleboro;us-vt-dummerston;Town;;2213;VT;
Guilford;us-vt-brattleboro;us-vt-guilford;Town;;2313;VT;
Halifax;us-vt-brattleboro;us-vt-halifax;Town;;729;VT;
Marlboro;us-vt-brattleboro;us-vt-marlboro;Town;;1373;VT;
Rockingham;us-vt-springfield;us-vt-rockingham;Town;;4867;VT;
Stratton;us-vt-brattleboro;us-vt-stratton;Town;;327;VT;
Vernon;us-vt-brattleboro;us-vt-vernon;Town;;2548;VT;
Windham;us-vt-springfield;us-vt-windham-town;Town;;530;VT;
Andover;us-vt-springfield;us-vt-andover;Town;;612;VT;
Baltimore;us-vt-springfield;us-vt-baltimore;Town;;347;VT;
Barnard;us-vt-wrj;us-vt-barnard;Town;;1141;VT;
Bridgewater;us-vt-wrj;us-vt-bridgewater;Town;;926;VT;
Hartford;us-vt-wrj;us-vt-hartford;Town;;10687;VT;
Plymouth;us-vt-springfield;us-vt-plymouth;Town;;616;VT;
Pomfret;us-vt-wrj;us-vt-pomfret;Town;;854;VT;
Reading;us-vt-springfield;us-vt-reading;Town;;628;VT;
Royalton;us-vt-wrj;us-vt-royalton;Town;;2755;VT;
Sharon;us-vt-middlebury;us-vt-sharon;Town;;1499;VT;
Stockbridge;us-vt-wrj;us-vt-stockbridge;Town;;772;VT;
Weathersfield;us-vt-springfield;us-vt-weathersfield;Town;;2844;VT;
West Windsor;us-vt-springfield;us-vt-west-windsor;Town;;1058;VT;
Albany;us-vt-newport;us-vt-albany;Town;;1035;VT;
Alburgh;us-vt-st-albans;us-vt-alburgh;Town;;1857;VT;
Barre;us-vt-barre-hd;us-vt-barre;City;;8488;VT;https://www.healthvermont.gov/local/barre
Arlington;us-vt-bennington-hd;us-vt-arlington;Town;;2761;VT;
Bennington;us-vt-bennington-hd;us-vt-bennington-town;Town;;15338;VT;http://www.healthvermont.gov/local/bennington
Barnet;us-vt-st-johnsbury-hd;us-vt-barnet;Town;;1534;VT;
Barton;us-vt-newport;us-vt-barton;Town;;2849;VT;
Benson;us-vt-rutland-hd;us-vt-benson;Town;;764;VT;
Bethel;us-vt-wrj;us-vt-bethel;Town;;1850;VT;
Brattleboro;us-vt-brattleboro;us-vt-brattleboro-town;Town;;12162;VT;http://www.healthvermont.gov/local/brattleboro
Bradford;us-vt-wrj;us-vt-bradford;Town;;2791;VT;
Burlington;us-vt-burlington;us-vt-burlington-town;City;;44646;VT;https://www.healthvermont.gov/local/burlington
Brandon;us-vt-rutland-hd;us-vt-brandon;Town;;4114;VT;
Bristol;us-vt-middlebury;us-vt-bristol;Town;;3781;VT;
Cabot;us-vt-barre-hd;us-vt-cabot;Town;;1638;VT;
Cambridge;us-vt-morrisville;us-vt-cambridge;Town;;3809;VT;
Canaan;us-vt-newport;us-vt-canaan;Town;;666;VT;
Castleton;us-vt-rutland-hd;us-vt-castleton;Town;;4457;VT;
Cavendish;us-vt-springfield;us-vt-cavendish;Town;;1380;VT;
Chelsea;us-vt-wrj;us-vt-chelsea;Town;;1296;VT;
Chester;us-vt-springfield;us-vt-chester;Town;;3017;VT;
Concord;us-vt-st-johnsbury-hd;us-vt-concord;Town;;1189;VT;
Coventry;us-vt-newport;us-vt-coventry;Town;;951;VT;
Danville;us-vt-st-johnsbury-hd;us-vt-danville;Town;;2334;VT;
Dorset;us-vt-bennington-hd;us-vt-dorset;Town;;1886;VT;
East Montpelier;us-vt-barre-hd;us-vt-east-montpelier;Town;;2604;VT;
Essex Junction;us-vt-burlington;us-vt-essex-junction;City;;10646;VT;
Fairfax;us-vt-st-albans;us-vt-fairfax;Town;;5040;VT;
Fair Haven;us-vt-rutland-hd;us-vt-fair-haven;Town;;2733;VT;
Fairlee;us-vt-wrj;us-vt-fairlee;Town;;1158;VT;
Glover;us-vt-newport;us-vt-glover;Town;;999;VT;
Greensboro;us-vt-morrisville;us-vt-greensboro;Town;;680;VT;
Groton;us-vt-st-johnsbury-hd;us-vt-groton;Town;;1093;VT;
Hardwick;us-vt-morrisville;us-vt-hardwick;Town;;2950;VT;
Hartland;us-vt-wrj;us-vt-hartland;Town;;3452;VT;
Hinesburg;us-vt-burlington;us-vt-hinesburg;Town;;4695;VT;
Hyde Park;us-vt-morrisville;us-vt-hyde-park;Town;;3022;VT;
Irasburg;us-vt-newport;us-vt-irasburg;Town;;1231;VT;
Jericho;us-vt-burlington;us-vt-jericho;Town;;5105;VT;
Johnson;us-vt-morrisville;us-vt-johnson;Town;;3484;VT;
Lowell;us-vt-newport;us-vt-lowell;Town;;1003;VT;
Ludlow;us-vt-springfield;us-vt-ludlow;Town;;2003;VT;
Middlebury;us-vt-middlebury;us-vt-middlebury-town;Town;;9123;VT;http://healthvermont.gov/local/district/Middlebury.aspx
Manchester;us-vt-bennington-hd;us-vt-manchester;Town;;4488;VT;
Marshfield;us-vt-barre-hd;us-vt-marshfield;Town;;1625;VT;
Milton;us-vt-burlington;us-vt-milton;Town;;10720;VT;
Montpelier;us-vt-barre-hd;us-vt-montpelier;City;;8030;VT;
Newport;us-vt-newport;us-vt-newport-town;City;;4431;VT;http://healthvermont.gov/local/district/Newport.aspx
Newbury;us-vt-st-johnsbury-hd;us-vt-newbury;Town;;2065;VT;
Newfane;us-vt-brattleboro;us-vt-newfane;Town;;1663;VT;
Northfield;us-vt-barre-hd;us-vt-northfield;Town;;5927;VT;
Norwich;us-vt-wrj;us-vt-norwich;Town;;3620;VT;
Pittsford;us-vt-rutland-hd;us-vt-pittsford;Town;;2888;VT;
Plainfield;us-vt-barre-hd;us-vt-plainfield;Town;;1192;VT;
Poultney;us-vt-rutland-hd;us-vt-poultney;Town;;3048;VT;
Putney;us-vt-brattleboro;us-vt-putney;Town;;2630;VT;
Randolph;us-vt-wrj;us-vt-randolph;Town;;4791;VT;
Readsboro;us-vt-bennington-hd;us-vt-readsboro;Town;;736;VT;
Richford;us-vt-st-albans;us-vt-richford;Town;;2459;VT;
Rutland;us-vt-rutland-hd;us-vt-rutland-town;City;;15819;VT;http://www.healthvermont.gov/local/rutland
St. Albans;us-vt-bennington-hd;us-vt-st-albans-town;City;;6891;VT;https://www.healthvermont.gov/local/st-albans
Richmond;us-vt-burlington;us-vt-richmond;Town;;4157;VT;
St. Johnsbury;us-vt-bennington-hd;us-vt-st-johnsbury;Town;;7378;VT;http://www.healthvermont.gov/local/st-johnsbury
Rochester;us-vt-wrj;us-vt-rochester;Town;;1299;VT;
St. George;us-vt-bennington-hd;us-vt-st-george;Town;;815;VT;
Springfield;us-vt-springfield;us-vt-springfield-town;Town;;9097;VT;http://www.healthvermont.gov/local/springfield
Shelburne;us-vt-brattleboro;us-vt-shelburne;Town;;7751;VT;
South Burlington;us-vt-st-albans;us-vt-south-burlington;City;;20241;VT;
Stowe;us-vt-morrisville;us-vt-stowe;Town;;5214;VT;
Swanton;us-vt-st-albans;us-vt-swanton;Town;;6758;VT;
Troy;us-vt-newport;us-vt-troy;Town;;1756;VT;
Vergennes;us-vt-middlebury;us-vt-vergennes;City;;2561;VT;
Waitsfield;us-vt-barre-hd;us-vt-waitsfield;Town;;1675;VT;
Wallingford;us-vt-rutland-hd;us-vt-wallingford;Town;;2534;VT;
Waterbury;us-vt-barre-hd;us-vt-waterbury;Town;;5333;VT;
Wells;us-vt-rutland-hd;us-vt-wells;Town;;902;VT;
Westminster;us-vt-brattleboro;us-vt-westminster;Town;;3013;VT;
West Rutland;us-vt-rutland-hd;us-vt-west-rutland;Town;;2375;VT;
Williamstown;us-vt-barre-hd;us-vt-williamstown;Town;;3534;VT;
Wilmington;us-vt-brattleboro;us-vt-wilmington;Town;;1767;VT;
Windsor;us-vt-springfield;us-vt-windsor-town;Town;;3548;VT;
Winooski;us-vt-burlington;us-vt-winooski;City;;8122;VT;
Woodstock;us-vt-wrj;us-vt-woodstock;Town;;3020;VT;
Worcester;us-vt-barre-hd;us-vt-worcester;Town;;896;VT;
Vermont;us;us-vt;State;TRUE;623989;VT;
All Vermont;;us-vt-all;Summary;;;VT;
Averill;us-vt-newport;us-vt-averill;City;;;VT;
Barre Vermont HD;us-vt;us-vt-barre-hd;Group;TRUE;66925;VT;
All Barre Vermont HD;;us-vt-barre-hd-all;Summary;;;VT;
Bennington Vermont HD;us-vt;us-vt-bennington-hd;Group;TRUE;37347;VT;
All Bennington Vermont HD;;us-vt-bennington-hd-all;Summary;;;VT;
Brattleboro Vermont HD;us-vt;us-vt-brattleboro;Group;TRUE;25876;VT;
All Brattleboro Vermont HD;;us-vt-brattleboro-all;Summary;;;VT;
Burlington Vermont HD;us-vt;us-vt-burlington;Group;TRUE;123458;VT;
